metadata: music UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: music,locus: locus,locus: from,locus: to,dimensions: type,dimensions: height,dimensions: max height,dimensions: min height,dimensions: width,dimensions: max width,dimensions: min width,dimensions: unit,people: name(s),people: ID(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
MS_Canon_Liturg_297_music_1,manuscript_2984,Canon_Liturg,MS_Canon_Liturg_297,MS. Canon. Liturg. 297,manuscript,,MS_Canon_Liturg_297,"Fine adiastematic, non-rhythmical notation of German neums, tending towards point neums.",,,,,,,,,,,,,,,,
MS_Canon_Liturg_308_music_1,manuscript_2991,Canon_Liturg,MS_Canon_Liturg_308,MS. Canon. Liturg. 308,manuscript,,MS_Canon_Liturg_308,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_319_music_1,manuscript_3001,Canon_Liturg,MS_Canon_Liturg_319,MS. Canon. Liturg. 319,part,,MS_Canon_Liturg_319-partB,Some cues and the first part of the Exultet (fol. 79v) in adiastematic rhythmical neums of St. Gall.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_320_music_1,manuscript_3003,Canon_Liturg,MS_Canon_Liturg_320,MS. Canon. Liturg. 320,manuscript,,MS_Canon_Liturg_320,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_321_music_1,manuscript_3004,Canon_Liturg,MS_Canon_Liturg_321,MS. Canon. Liturg. 321,manuscript,,MS_Canon_Liturg_321,"Italian notation on 3 or 4 lines; 2 or 3 dry point, one red (F) and sometimes one yellow (C); up to fol.47v the notation resembles the North Italian system, from fol.60 onwards the Beneventan.",,,,,,,,,,,,,,,,
MS_Canon_Liturg_322_music_1,manuscript_3005,Canon_Liturg,MS_Canon_Liturg_322,MS. Canon. Liturg. 322,part,,MS_Canon_Liturg_322-part1,"Square notation on 8 staves of 4 lines: 2 dry-point or black, 1 red and 1 yellow.",,,,,,,,,,,,,,,,
MS_Canon_Liturg_323_music_1,manuscript_3006,Canon_Liturg,MS_Canon_Liturg_323,MS. Canon. Liturg. 323,manuscript,,MS_Canon_Liturg_323,Notation (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_324_music_1,manuscript_3007,Canon_Liturg,MS_Canon_Liturg_324,MS. Canon. Liturg. 324,manuscript,,MS_Canon_Liturg_324,Occasional neumes in the text. The Exultet has square notation on 4-line staves; the marginal music at fol. 66r has no ruling.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_325_music_1,manuscript_3008,Canon_Liturg,MS_Canon_Liturg_325,MS. Canon. Liturg. 325,manuscript,,MS_Canon_Liturg_325,See above: adiastematic neums; square notation on four-line staves.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_331_music_1,manuscript_3015,Canon_Liturg,MS_Canon_Liturg_331,MS. Canon. Liturg. 331,manuscript,,MS_Canon_Liturg_331,Square notation on 7 staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_339_music_1,manuscript_3020,Canon_Liturg,MS_Canon_Liturg_339,MS. Canon. Liturg. 339,manuscript,,MS_Canon_Liturg_339,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_340_music_1,manuscript_3022,Canon_Liturg,MS_Canon_Liturg_340,MS. Canon. Liturg. 340,manuscript,,MS_Canon_Liturg_340,"Adiastematic neumatic notation, in the proser often lacking or added by later hands; above the original text corrections in square notation on staves of 4 red lines are made on fol.18 (troped introit of St. Stephen), fol. 19v (troped introit of St. John the evangelist); some square notation on black staves added on fol. 135.",,,,,,,,,,,,,,,,
MS_Canon_Liturg_341_music_1,manuscript_3023,Canon_Liturg,MS_Canon_Liturg_341,MS. Canon. Liturg. 341,manuscript,,MS_Canon_Liturg_341,"'Rhythmical south German neums with a tendency to diastematism' (Flotzinger, p. 73)",,,,,,,,,,,,,,,,
MS_Canon_Liturg_342_music_1,manuscript_3024,Canon_Liturg,MS_Canon_Liturg_342,MS. Canon. Liturg. 342,manuscript,,MS_Canon_Liturg_342,"Beneventan notation on 11 staves of a red, a yellow and a dry point line. In the gospels in Lent the parts are indicated with L and + (fol. 28v), in the passions with 1 (e), s and + (fol. 41v)",,,,,,,,,,,,,,,,
MS_Canon_Liturg_345_music_1,manuscript_3027,Canon_Liturg,MS_Canon_Liturg_345,MS. Canon. Liturg. 345,manuscript,,MS_Canon_Liturg_345,"Square notation of 12 staves of 2 black and 1 red line in the Exultet (fol. 74v), erased and rewritten about the same time the texts on fol. 19f were added.",,,,,,,,,,,,,,,,
MS_Canon_Liturg_346_music_1,manuscript_3028,Canon_Liturg,MS_Canon_Liturg_346,MS. Canon. Liturg. 346,manuscript,,MS_Canon_Liturg_346,Notation (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_350_music_1,manuscript_3033,Canon_Liturg,MS_Canon_Liturg_350,MS. Canon. Liturg. 350,manuscript,,MS_Canon_Liturg_350,Non-rhythmical notation of the St. Gall type.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_352_music_1,manuscript_3035,Canon_Liturg,MS_Canon_Liturg_352,MS. Canon. Liturg. 352,manuscript,,MS_Canon_Liturg_352,Square notation on staves of 3–6 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_354_music_1,manuscript_3037,Canon_Liturg,MS_Canon_Liturg_354,MS. Canon. Liturg. 354,manuscript,,MS_Canon_Liturg_354,Adiastematic non-rhythmical notation of S. Germany,,,,,,,,,,,,,,,,
MS_Canon_Liturg_355_music_1,manuscript_3038,Canon_Liturg,MS_Canon_Liturg_355,MS. Canon. Liturg. 355,manuscript,,MS_Canon_Liturg_355,"Some square notation on 7 staves of 3 or 4 red lines; in the prefaces, 11 long staves to a page.",,,,,,,,,,,,,,,,
MS_Canon_Liturg_356_music_1,manuscript_3039,Canon_Liturg,MS_Canon_Liturg_356,MS. Canon. Liturg. 356,manuscript,,MS_Canon_Liturg_356,Square notation on staves of four red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_358_music_1,manuscript_3040,Canon_Liturg,MS_Canon_Liturg_358,MS. Canon. Liturg. 358,manuscript,,MS_Canon_Liturg_358,Neumatic notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_359_music_1,manuscript_3041,Canon_Liturg,MS_Canon_Liturg_359,MS. Canon. Liturg. 359,manuscript,,MS_Canon_Liturg_359,Neumatic notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_360_music_1,manuscript_3043,Canon_Liturg,MS_Canon_Liturg_360,MS. Canon. Liturg. 360,manuscript,,MS_Canon_Liturg_360,"Adiastematic, non-rhythmical notation",,,,,,,,,,,,,,,,
MS_Canon_Liturg_362_music_1,manuscript_3045,Canon_Liturg,MS_Canon_Liturg_362,MS. Canon. Liturg. 362,manuscript,,MS_Canon_Liturg_362,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_366_music_1,manuscript_3048,Canon_Liturg,MS_Canon_Liturg_366,MS. Canon. Liturg. 366,manuscript,,MS_Canon_Liturg_366,Adiastematic non-rhythmical North Italian neums.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_368_music_1,manuscript_3050,Canon_Liturg,MS_Canon_Liturg_368,MS. Canon. Liturg. 368,manuscript,,MS_Canon_Liturg_368,Square notation on staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_369_music_1,manuscript_3051,Canon_Liturg,MS_Canon_Liturg_369,MS. Canon. Liturg. 369,manuscript,,MS_Canon_Liturg_369,Square notation on 8 staves.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_370_music_1,manuscript_3053,Canon_Liturg,MS_Canon_Liturg_370,MS. Canon. Liturg. 370,manuscript,,MS_Canon_Liturg_370,Square notation on staves of four red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_371_music_1,manuscript_3054,Canon_Liturg,MS_Canon_Liturg_371,MS. Canon. Liturg. 371,manuscript,,MS_Canon_Liturg_371,Square notation on 5 staves.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_374_music_1,manuscript_3056,Canon_Liturg,MS_Canon_Liturg_374,MS. Canon. Liturg. 374,manuscript,,MS_Canon_Liturg_374,Square notation on 8 long staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_375_music_1,manuscript_3057,Canon_Liturg,MS_Canon_Liturg_375,MS. Canon. Liturg. 375,manuscript,,MS_Canon_Liturg_375,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_376_music_1,manuscript_3058,Canon_Liturg,MS_Canon_Liturg_376,MS. Canon. Liturg. 376,manuscript,,MS_Canon_Liturg_376,Melodical accents in red above the text.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_377_music_1,manuscript_3059,Canon_Liturg,MS_Canon_Liturg_377,MS. Canon. Liturg. 377,manuscript,,MS_Canon_Liturg_377,Square notation on staves of four red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_378_music_1,manuscript_3060,Canon_Liturg,MS_Canon_Liturg_378,MS. Canon. Liturg. 378,manuscript,,MS_Canon_Liturg_378,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_379_music_1,manuscript_3061,Canon_Liturg,MS_Canon_Liturg_379,MS. Canon. Liturg. 379,manuscript-composite,MS. Canon. Liturg. 379 – Part 1 (fols. 1-20) MS. Canon. Liturg. 379 – Part 2,MS_Canon_Liturg_379,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_380_music_1,manuscript_3062,Canon_Liturg,MS_Canon_Liturg_380,MS. Canon. Liturg. 380,manuscript,,MS_Canon_Liturg_380,Square notation on 9 staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_382_music_1,manuscript_3063,Canon_Liturg,MS_Canon_Liturg_382,MS. Canon. Liturg. 382,manuscript,,MS_Canon_Liturg_382,Square notation on 8 long staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_384_music_1,manuscript_3065,Canon_Liturg,MS_Canon_Liturg_384,MS. Canon. Liturg. 384,manuscript,,MS_Canon_Liturg_384,Square notation on 8 staves of 3 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_385_music_1,manuscript_3066,Canon_Liturg,MS_Canon_Liturg_385,MS. Canon. Liturg. 385,manuscript,,MS_Canon_Liturg_385,Square notation on mostly 9 long staves of 3 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_386_music_1,manuscript_3067,Canon_Liturg,MS_Canon_Liturg_386,MS. Canon. Liturg. 386,manuscript,,MS_Canon_Liturg_386,Square notation on 8 staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_387_music_1,manuscript_3068,Canon_Liturg,MS_Canon_Liturg_387,MS. Canon. Liturg. 387,manuscript,,MS_Canon_Liturg_387,Square notation on 10 staves of 4 or 5 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_389_music_1,manuscript_3070,Canon_Liturg,MS_Canon_Liturg_389,MS. Canon. Liturg. 389,manuscript,,MS_Canon_Liturg_389,Square notation on 10 staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_395_music_1,manuscript_3074,Canon_Liturg,MS_Canon_Liturg_395,MS. Canon. Liturg. 395,manuscript-with-fragment,"MS. Canon. Liturg. 395, front pastedown",MS_Canon_Liturg_395,Square notation on staves of four red lines.,,,,,,,,,,,,,,,,
MS_Canon_Misc_43_music_1,manuscript_3463,Canon_Misc,MS_Canon_Misc_43,MS. Canon. Misc. 43,manuscript-composite,MS. Canon. Misc. 43 – Part 1 MS. Canon. Misc. 43 – Part 2 MS. Canon. Misc. 43 – Part 3 MS. Canon. Misc. 43 – Part 4 MS. Canon. Misc. 43 – Part 5,MS_Canon_Misc_43,Neumatic notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Misc_92_music_1,manuscript_3659,Canon_Misc,MS_Canon_Misc_92,MS. Canon. Misc. 92,manuscript,,MS_Canon_Misc_92,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Misc_213_music_1,manuscript_3232,Canon_Misc,MS_Canon_Misc_213,MS. Canon. Misc. 213,manuscript,,MS_Canon_Misc_213,Black mensural notation; white mensural notation,,,,,,,,,,,,,,,,
MS_Canon_Misc_575_music_1,manuscript_3621,Canon_Misc,MS_Canon_Misc_575,MS. Canon. Misc. 575,manuscript-composite,"MS. Canon. Misc. 575 - fols. ii, 136 (former pastedowns)",MS_Canon_Misc_575,Adiastematic neumes added above an added marginal antiphon for the feast of St Gregory: ‘Sex struxit in sicilia vir clarus monasteria’ (CANTUS 004878) (fol. 122v).,,,,,,,,,,,,,,,CANTUS 004878,http://www.cantusindex.org/id/004878
MS_Canon_Misc_575_music_1,manuscript_3621,Canon_Misc,MS_Canon_Misc_575,MS. Canon. Misc. 575,manuscript-composite,"MS. Canon. Misc. 575 - fols. ii, 136 (former pastedowns)",MS_Canon_Misc_575,"Adiastematic neumes added above two short lines written horizontally on recto of the former back pastedown (fol. 136r), both with the same melody: ‘puer ginitur nec mater ulla premitur angustia loco antiphon’ (Dreves, Analecta Hymnica, xx (1895), p. 67 no. 42, part of the third stanza), and: ‘Si commeditis de pomis loco positis perennia’ (cf. ibid., stanza 5)",,,,,,,,,,,,,,Analecta Hymnica,,
MS_Canon_Pat_Lat_88_music_1,manuscript_3886,Canon_Pat_Lat,MS_Canon_Pat_Lat_88,MS. Canon. Pat. Lat. 88,manuscript,,MS_Canon_Pat_Lat_88,Neums (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Pat_Lat_96_music_1,manuscript_3895,Canon_Pat_Lat,MS_Canon_Pat_Lat_96,MS. Canon. Pat. Lat. 96,manuscript,,MS_Canon_Pat_Lat_96,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Pat_Lat_112_music_1,manuscript_3682,Canon_Pat_Lat,MS_Canon_Pat_Lat_112,MS. Canon. Pat. Lat. 112,manuscript,,MS_Canon_Pat_Lat_112,Musical notation on fol. 112v.,,,,,,,,,,,,,,,,
MS_Canon_Pat_Lat_172_music_1,manuscript_3748,Canon_Pat_Lat,MS_Canon_Pat_Lat_172,MS. Canon. Pat. Lat. 172,manuscript-with-fragment,MS. Canon. Pat. Lat. 172 - endleaf (former pastedown) (fol. i) MS. Canon. Pat. Lat. 172 - endleaf (former pastedown) (fol. 189),MS_Canon_Pat_Lat_172,"Diastematic neumes, fol. 170v",,,,,,,,,,,,,,,,
MS_Canon_Pat_Lat_172_music_2,manuscript_3748,Canon_Pat_Lat,MS_Canon_Pat_Lat_172,MS. Canon. Pat. Lat. 172,fragment,MS. Canon. Pat. Lat. 172 - endleaf (former pastedown) (fol. i),MS_Canon_Pat_Lat_172-foli,Staveless neumes,,,,,,,,,,,,,,,,
MS_Canon_Pat_Lat_172_music_3,manuscript_3748,Canon_Pat_Lat,MS_Canon_Pat_Lat_172,MS. Canon. Pat. Lat. 172,fragment,MS. Canon. Pat. Lat. 172 - endleaf (former pastedown) (fol. 189),MS_Canon_Pat_Lat_172-fol189,Chant (written in smaller script) with staveless neumes,,,,,,,,,,,,,,,,
MS_Canon_Pat_Lat_192_music_1,manuscript_3770,Canon_Pat_Lat,MS_Canon_Pat_Lat_192,MS. Canon. Pat. Lat. 192,manuscript,,MS_Canon_Pat_Lat_192,A 12th-century pen-trial(?) with a version of an Easter antiphon ‘Christus resurgens mortuis iam non est’ has neums above the first two words (back pastedown).,,,,,,,,,,,,,,,,
MS_Canon_Pat_Lat_229_music_1,manuscript_3811,Canon_Pat_Lat,MS_Canon_Pat_Lat_229,MS. Canon. Pat. Lat. 229,part,MS. Canon. Pat. Lat. 229 – Part 2 (fols. 53–56),MS_Canon_Pat_Lat_229-part2A,Polyphonic mensural notation,,,,,,,,,,,,,,,,
MS_Canon_Pat_Lat_229_music_2,manuscript_3811,Canon_Pat_Lat,MS_Canon_Pat_Lat_229,MS. Canon. Pat. Lat. 229,fragment,MS. Canon. Pat. Lat. 229 – Part 3 (fol. 57),MS_Canon_Pat_Lat_229-part2B,"North Italian, almost square, notation on (at least) 12 staves of 4 lines: 2 dry point, 1 yellow and 1 red.",,,,,,,,,,,,,,,,
Christ_Church_MS_87_music_1,manuscript_3961,Christ_Church,Christ_Church_MS_87,Christ Church MS. 87,manuscript,,Christ_Church_MS_87,Some noted portions on a four-line stave in red.,,,,,,,,,,,,,,,,
Christ_Church_MS_150_music_1,manuscript_3933,Christ_Church,Christ_Church_MS_150,Christ Church MS. 150,manuscript,,Christ_Church_MS_150,Staves with black notation on red lines,,,,,,,,,,,,,,,,
Christ_Church_MS_378_music_1,manuscript_3950,Christ_Church,Christ_Church_MS_378,Christ Church MS. 378,part,Fragment 2,Christ_Church_MS_378-part2,"Music on red staves, four lines.",,,,,,,,,,,,,,,,
Christ_Church_MS_378_music_2,manuscript_3950,Christ_Church,Christ_Church_MS_378,Christ Church MS. 378,part,Fragment 3,Christ_Church_MS_378-part3,Four-line musical staves in red.,,,,,,,,,,,,,,,,
Christ_Church_MS_378_music_3,manuscript_3950,Christ_Church,Christ_Church_MS_378,Christ Church MS. 378,part,Fragment 11,Christ_Church_MS_378-part7,Four-line musical staves in red.,,,,,,,,,,,,,,,,
Christ_Church_MS_378_music_4,manuscript_3950,Christ_Church,Christ_Church_MS_378,Christ Church MS. 378,part,Fragment 12,Christ_Church_MS_378-part8,The music on red staves.,,,,,,,,,,,,,,,,
Christ_Church_MS_689_music_1,manuscript_3960,Christ_Church,Christ_Church_MS_689,Christ Church Mus 1295 (aka MS. 689),manuscript,,Christ_Church_MS_689,Staves ruled in red.,,,,,,,,,,,,,,,,
MS_E_D_Clarke_29_music_1,manuscript_3994,Clarke,MS_E_D_Clarke_29,MS. E. D. Clarke 29,manuscript,,MS_E_D_Clarke_29,The Improperia (fols. 54v–56r) with 5 lines of text and music in square notation on four-line red staves.,,,,,,,,,,,,,,,,
MS_DOrville_45_music_1,manuscript_4151,DOrville,MS_DOrville_45,MS. D'Orville 45,manuscript,,MS_DOrville_45,"Occasional diastematic Aquitanian point neum notation (fols. 157, 187, 215v ff.).",,,,,,,,,,,,,,,,
MS_DOrville_145_music_1,manuscript_4082,DOrville,MS_DOrville_145,MS. D'Orville 145,manuscript,,MS_DOrville_145,"Nicholson notes that the neumes on fol. 56 are in a lighter ink than the main text and that an ink of the same colour was used by a corrector on fol. 44v who seems to be roughly contemporary with the main scribe. The similarity in the colour of the ink leads Nicholson to speculate that it may have been the corrector who added the neumes. Nicholson reports H. M. Bannister's opinion that the neumes are from Metz, with Bannister noting the similarity with those found in a 12th century antiphon in honour of the Belgian saint Lambert on fol. 155 of MS. Auct. T. 2. 23. Bannister compares MS. D'Orville 145 to Vatican MS. Reg. lat. 1987, fol. 1r, also from St Peter's, Ghent, which has the same lines and similar neumes but repeated throughout the poem (Some of the Oldest Latin Musical Manuscripts in the Bodleian Library [1913], vol. 3, p. lxxix). See also Henry Marriott Bannister, Monumenti vaticani di paleografia musicale latina (Lipsia, 1913), p. 101, note 2",,,,,,,,,,,,,,Some of the Oldest Latin Musical Manuscripts in the Bodleian Library; Monumenti vaticani di paleografia musicale latina,MS. Auct. T. 2. 23; Reg. lat. 1987,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_774 https://digi.vatlib.it/view/MSS_Reg.lat.1987/0005
MS_DOrville_175_music_1,manuscript_4112,DOrville,MS_DOrville_175,MS. D'Orville 175,manuscript-composite,MS. D'Orville 175 (upper text) MS. D'Orville 175 (lower text),MS_DOrville_175,Music (see van Dijk 1957).,,,,,,,,,,,,,,,,
Dep_d_363_music_1,manuscript_4215,Dep,Dep_d_363,Dep. d. 363,manuscript,,Dep_d_363,Neumatic notation on staves of four red lines,,,,,,,,,,,,,,,,
MS_Digby_2_music_1,manuscript_4319,Digby,MS_Digby_2,MS. Digby 2,manuscript,,MS_Digby_2,Music (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Digby_25_music_1,manuscript_4360,Digby,MS_Digby_25,MS. Digby 25,manuscript,,MS_Digby_25,Beneventan notation. (Pächt and Alexander ii. 23),,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Digby_53_music_1,manuscript_4391,Digby,MS_Digby_53,MS. Digby 53,manuscript,,MS_Digby_53,Neums (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Digby_65_music_1,manuscript_4403,Digby,MS_Digby_65,MS. Digby 65,part,MS. Digby 65 – Part 3,MS_Digby_65-part3,Space for music left blank; 2 lines of square notation on staves of 4 or 5 red lines.,,,,,,,,,,,,,,,,
MS_Digby_90_music_1,manuscript_4431,Digby,MS_Digby_90,MS. Digby 90,manuscript,,MS_Digby_90,Musical notation on staves of four lines.,,,,,,,,,,,,,,,,
MS_Digby_109_music_1,manuscript_4231,Digby,MS_Digby_109,MS. Digby 109,manuscript,,MS_Digby_109,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Digby_134_music_1,manuscript_4252,Digby,MS_Digby_134,MS. Digby 134,manuscript,,MS_Digby_134,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Digby_227_music_1,manuscript_4349,Digby,MS_Digby_227,MS. Digby 227,manuscript,,MS_Digby_227,Square notation on 7 staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Don_b_5_music_1,manuscript_4451,Don,MS_Don_b_5,MS. Don. b. 5,manuscript,,MS_Don_b_5,Square notation on 13 staves (canon 10) staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Don_b_6_music_1,manuscript_4452,Don,MS_Don_b_6,MS. Don. b. 6,manuscript,,MS_Don_b_6,12 staves of 4 red lines with square notation.,,,,,,,,,,,,,,,,
MS_Don_b_31_music_1,manuscript_4449,Don,MS_Don_b_31,MS. Don. b. 31,manuscript,,MS_Don_b_31,Staves in red.,,,,,,,,,,,,,,,,
MS_Don_c_250_music_1,manuscript_9976,Don,MS_Don_c_250,MS. Don. c. 250,part,,MS_Don_c_250-part1,Central Italian (?) notation on staves ruled in drypoint with a central staff line in red.,,,,,,,,,,,,,,,,
MS_Don_c_250_music_2,manuscript_9976,Don,MS_Don_c_250,MS. Don. c. 250,fragment,,MS_Don_c_250-part2,Square notation on staves of four lines.,,,,,,,,,,,,,,,,
MS_Don_e_248_music_1,manuscript_4468,Don,MS_Don_e_248,MS. Don. e. 248,manuscript,,MS_Don_e_248,Hufnagel notation on black four-line staves on four folios.,,,,,,,,,,,,,,,,
MS_Don_e_248_music_1,manuscript_4468,Don,MS_Don_e_248,MS. Don. e. 248,manuscript,,MS_Don_e_248,"Interlinear neumes added to some of the psalms (e.g., ff. 52, 60, 98).",52 60 98,52r 60r 98r,52r 60r 98r,,,,,,,,,,,,,
MS_Douce_2_music_1,manuscript_4564,Douce,MS_Douce_2,MS. Douce 2,part,,Douce_2_flyleaves,Square notation on staves of 4 red lines,,,,,,,,,,,,,,,,
MS_Douce_22_music_1,manuscript_4578,Douce,MS_Douce_22,MS. Douce 22,manuscript,,MS_Douce_22,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Douce_127_music_1,manuscript_4503,Douce,MS_Douce_127,MS. Douce 127,manuscript,,MS_Douce_127,Roman antiphons with music (square notation on three or four black lines) added in the margins in an early 14th-century hand.,,,,,,,,,,,,,,,,
MS_Douce_218_music_1,manuscript_4577,Douce,MS_Douce_218,MS. Douce 218,manuscript-composite,MS. Douce 218 – Part 1 MS. Douce 218 – Part 2,MS_Douce_218,Notation (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Douce_222_music_1,manuscript_4579,Douce,MS_Douce_222,MS. Douce 222,manuscript,,MS_Douce_222,"North Italian diastematic, non rhythmical notation throughout with some Notker letters. In the offertorial and on the following leaves the notation shows evident visigothic (Spanish) influence.",,,,,,,,,,,,,,,,
MS_Douce_272_music_1,manuscript_4620,Douce,MS_Douce_272,MS. Douce 272,manuscript,,MS_Douce_272,Square notation on staves of four red lines.,,,,,,,,,,,,,,,,
MS_Douce_381_music_1,manuscript_4703,Douce,MS_Douce_381,MS. Douce 381,manuscript-composite,MS. Douce 381 – Part 1 MS. Douce 381 – Part 2 MS. Douce 381 – Part 3 MS. Douce 381 – Part 4 MS. Douce 381 – Part 5 MS. Douce 381 – Part 6 MS. Douce 381 – Part 7 MS. Douce 381 – Part 8 MS. Douce 381 – Part 9 MS. Douce 381 – Part 10 MS. Douce 381 – Part 11 MS. Douce 381 – Part 12 MS. Douce 381 – Part 13 MS. Douce 381 – Part 14 MS. Douce 381 – Part 15 MS. Douce 381 – Part 16 MS. Douce 381 – Part 17 MS. Douce 381 – Part 18 MS. Douce 381 – Part 19 MS. Douce 381 – Part 20 MS. Douce 381 – Part 21 MS. Douce 381 – Part 22 MS. Douce 381 – Part 23 MS. Douce 381 – Part 24 MS. Douce 381 – Part 25 MS. Douce 381 – Part 26 MS. Douce 381 – Part 27 MS. Douce 381 – Part 28 MS. Douce 381 – Part 29 MS. Douce 381 – Part 30 MS. Douce 381 – Part 31 MS. Douce 381 – Part 32,MS_Douce_381,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Douce_383_music_1,manuscript_4705,Douce,MS_Douce_383,MS. Douce 383,manuscript-composite,MS. Douce 383 – Part 1 (fols. 1-18) MS. Douce 383 – Part 2 MS. Douce 383 – Part 3 (fols. 41-46) MS. Douce 383 – Part 4,MS_Douce_383,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Douce_a_1_music_1,manuscript_4758,Douce,MS_Douce_a_1,MS. Douce a. 1,manuscript,,MS_Douce_a_1,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Douce_d_3_music_1,manuscript_4767,Douce,MS_Douce_d_3,MS. Douce d. 3,manuscript,,MS_Douce_d_3,Neums (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Eng_misc_c_291_music_1,manuscript_4809,Eng_misc,MS_Eng_misc_c_291,MS. Eng. misc. c. 291,part,MS.Eng.misc.c.291 – Part 7,MS_Eng_misc_c_291-part7,Staves of five lines.,,,,,,,,,,,,,,,,
Exeter_College_MS_1_music_1,manuscript_11001,Exeter_College,Exeter_College_MS_1,Exeter College MS. 1,part,,Exeter_College_MS_1-partC,"A noted offertorium on a 4-line stave (added, s. xvin).",,,,,,,,,,,,,,,,
Exeter_College_MS_189_music_1,manuscript_11075,Exeter_College,Exeter_College_MS_189,Exeter College MS 189,part,,Exeter_College_MS_189-fragment2,Neumed.,,,,,,,,,,,,,,,,
MS_Gough_Liturg_1_music_1,manuscript_4917,Gough,MS_Gough_Liturg_1,MS. Gough Liturg. 1,manuscript,,MS_Gough_Liturg_1,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Gough_Liturg_5_music_1,manuscript_4931,Gough,MS_Gough_Liturg_5,MS. Gough Liturg. 5,manuscript,,MS_Gough_Liturg_5,Square notation on 8 staves of 8 red lines (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Gough_Liturg_16_music_1,manuscript_4924,Gough,MS_Gough_Liturg_16,MS. Gough Liturg. 16,manuscript,,MS_Gough_Liturg_16,Square notation on long staves of 4 red lines (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Hamilton_12_music_1,manuscript_5972,Hamilton,MS_Hamilton_12,MS. Hamilton 12,fragment,,MS_Hamilton_12-endleaf-fol169,Adiastematic neums,,,,,,,,,,,,,,,,
