metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: part ID,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit,dimensions: converted
MS_Auct_D_3_5_binding_1,manuscript_454,Auct_D,MS_Auct_D_3_5,MS. Auct. D. 3. 5,MS_Auct_D_3_5,"Brown leather stamped with the arms of Hatton of Holdenby as in SC 4056, with green strings, English early 17th-cent. work.",,,,,1600,1625,,,,,,,,,,,,,
MS_Auct_D_3_7_binding_1,manuscript_456,Auct_D,MS_Auct_D_3_7,MS. Auct. D. 3. 7,MS_Auct_D_3_7,12.625; 9.625,,,,,,,,,12.625 in,321.0,321.0,9.625 in,244.0,244.0,,,,mm,True
MS_Auct_D_3_8_binding_1,manuscript_457,Auct_D,MS_Auct_D_3_8,MS. Auct. D. 3. 8,MS_Auct_D_3_8,13.625; 9.25,,,,,,,,,13.625 in,346.0,346.0,9.25 in,235.0,235.0,,,,mm,True
MS_Auct_D_3_9_binding_1,manuscript_458,Auct_D,MS_Auct_D_3_9,MS. Auct. D. 3. 9,MS_Auct_D_3_9,White leather (early 16th cent. ?) on older (14th cent. ?) solid leather boards.,,,,,1300,1510,,,12 in,305.0,305.0,8.75 in,222.0,222.0,,,,mm,True
MS_Auct_D_3_10_binding_1,manuscript_443,Auct_D,MS_Auct_D_3_10,MS. Auct. D. 3. 10,MS_Auct_D_3_10,Stamped white sheepskin (about 1602) over older sewing.,,,,1602,1602,1602,,,13.875 in,352.0,352.0,9.5 in,241.0,241.0,,,,mm,True
MS_Auct_D_3_11_binding_1,manuscript_444,Auct_D,MS_Auct_D_3_11,MS. Auct. D. 3. 11,MS_Auct_D_3_11,"White leather on boards, re-backed and repaired, English 15th cent. work.",,,,,1400,1500,,,10.625 in,270.0,270.0,8 in,203.0,203.0,,,,mm,True
MS_Auct_D_3_12_binding_1,manuscript_445,Auct_D,MS_Auct_D_3_12,MS. Auct. D. 3. 12,MS_Auct_D_3_12,"Poor red leather on older boards, probably Reading early 16th cent. work, worn.",,,,,1500,1600,,,10.25 in,260.0,260.0,7.125 in,181.0,181.0,,,,mm,True
MS_Auct_D_3_13_binding_1,manuscript_446,Auct_D,MS_Auct_D_3_13,MS. Auct. D. 3. 13,MS_Auct_D_3_13,"White leather on older reversed boards, clasp lost, English 15th cent. work, worn and repaired",,,,,1400,1500,,,13.375 in,340.0,340.0,9.875 in,251.0,251.0,,,,mm,True
MS_Auct_D_3_14_binding_1,manuscript_447,Auct_D,MS_Auct_D_3_14,MS. Auct. D. 3. 14,MS_Auct_D_3_14,"White leather on boards, title and press-mark on back, strap and pin wanting, contemporary English work.",,,True,,,,,,,,,,,,,,,,
MS_Auct_D_3_15_binding_1,manuscript_448,Auct_D,MS_Auct_D_3_15,MS. Auct. D. 3. 15,MS_Auct_D_3_15,"Original boards, recovered with red leather, Reading work, early 16th cent",,,,,1190,1525,,,12.875 in,327.0,327.0,10.5 in,267.0,267.0,,,,mm,True
MS_Auct_D_4_2_binding_1,manuscript_469,Auct_D,MS_Auct_D_4_2,MS. Auct. D. 4. 2,MS_Auct_D_4_2,"Wood boards, enclosed in silver, Flemish or French, late 14th century. Silver panels, engraved with the Coronation of the Virgin (upper cover) and Annunciation (lower cover), overlaid with transparent enamel. Both panels are slightly damaged, with losses of enamel exposing the underlying design on the silver. The panels are set in silver-gilt borders with applied foliate scrolls. The border is fragmentary on the lower cover. Four raised studs of silver with engraved flowers in four corners on the upper cover, designed to prevent the cover touching the surface when lying flat. Only two studs are still preserved on the lower cover. The work of the atelier of the ‘Royal Gold Cup’ in the British Museum, London (Pächt and Alexander, 1966–73).",,,,,1375,1400,,,,,,,,,,,,,
MS_Auct_D_4_2_binding_2,manuscript_469,Auct_D,MS_Auct_D_4_2,MS. Auct. D. 4. 2,MS_Auct_D_4_2,"Leather spine, 16th century (?), with six raised bands, decorated with gilt floral designs. Panels between the raised bands are framed with double gilt fillet lines. Edges of wood boards, framing the spine, are covered with leather decorated with gilt floral designs. Faded inscription on the second panel from the top, possibly ‘Psalterivm’, with ‘66’ written over it in ink. Printed paper label on spine with ‘D || 4. 2’. Fittings of two clasps, now missing. Gilt gauffered edges of textblock. ‘66’ written in ink on the fore-edge.",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_D_4_3_binding_1,manuscript_473,Auct_D,MS_Auct_D_4_3,MS. Auct. D. 4. 3,MS_Auct_D_4_3,"Faded red tawed leather over wood boards with a slightly rounded bevel, possibly original. Sewn on four double leather cords; four raised bands on spine. Paper label on spine with printed ‘D. || 4. 3.’; ‘103’ written on spine in white paint. Fragments of two leather straps (now lost) on the upper cover and two catches made of yellow metal on the lower cover. Gilt edges of textblock (gilding post-dates the binding (?)). Fols. i and 227, probably originally pastedowns, were already detached from the covers in the 15th century (fol. i recto contains late 15th-century additions).",,,True,,,,,,,,,,,,,,,,
MS_Auct_D_4_4_binding_1,manuscript_474,Auct_D,MS_Auct_D_4_4,MS. Auct. D. 4. 4,MS_Auct_D_4_4,"Modern binding, dated 1957; dark brown leather over pasteboard. Six raised bands on spine. Gilt lettering on spine ‘MS. AUCT. || D. 4. 4’. Fragment of a paper label on spine printed ‘62’. Modern laid paper pastedowns and fly-leaves.; Fols. ii recto and 173v were the pastedowns of an earlier binding, no later than the 16th century. Both have impressions of six double cords and of turn-ins of brown tanned leather from an earlier binding and perhaps of ‘V’-shaped channels leaving traces of white material from a yet earlier binding. The former pastedowns have patterns of holes, doubtless caused by the fittings of a pair of clasps at the fore-edge. The edges of textblock are gilt and gauffered.",,,,1957,1957,1957,,,,,,,,,,,,,
MS_Auct_D_4_5_binding_1,manuscript_475,Auct_D,MS_Auct_D_4_5,MS. Auct. D. 4. 5,MS_Auct_D_4_5,6; 4.5,,,,,,,,,6 in,152.0,152.0,4.5 in,114.0,114.0,,,,mm,True
MS_Auct_D_4_6_binding_1,manuscript_476,Auct_D,MS_Auct_D_4_6,MS. Auct. D. 4. 6,MS_Auct_D_4_6,"Brown leather over pasteboard, 18th century, first half. Blind double fillet lines and blind roll arabesque border round the outer edge of both covers. Rebacked in the 20th century in the Bodleian with the original spine relaid. Sewn on four cords; four raised bands on spine. Gilt lettering on spine ‘NE . A . 3 . 7 .’ (see Summary catalogue, vol. 1, p. xii). Late 18th-century paper label on spine ‘D 4 6’. Fly-leaves made of 18th-century laid paper, no watermarks.",,,,,1700,1800,,,,,,,,,,,,,
MS_Auct_D_4_7_binding_1,manuscript_477,Auct_D,MS_Auct_D_4_7,MS. Auct. D. 4. 7,MS_Auct_D_4_7,7.625; 5.5,,,,,,,,,7.625 in,194.0,194.0,5.5 in,140.0,140.0,,,,mm,True
MS_Auct_D_4_8_binding_1,manuscript_478,Auct_D,MS_Auct_D_4_8,MS. Auct. D. 4. 8,MS_Auct_D_4_8,"Brown leather with gold ornament, strings cut off, Oxford work of about 1610.",,,,1610,1610,1610,,,,,,,,,,,,,
MS_Auct_D_4_9_binding_1,manuscript_479,Auct_D,MS_Auct_D_4_9,MS. Auct. D. 4. 9,MS_Auct_D_4_9,"Oxford, late 16th cent.",,,,,1575,1600,,,,,,,,,,,,,
MS_Auct_D_4_10_binding_1,manuscript_460,Auct_D,MS_Auct_D_4_10,MS. Auct. D. 4. 10,MS_Auct_D_4_10,"Brown leather, blind-tooled, 17th-cent. English work.",,,,,1600,1700,,,,,,,,,,,,,
MS_Auct_D_4_12_binding_1,manuscript_462,Auct_D,MS_Auct_D_4_12,MS. Auct. D. 4. 12,MS_Auct_D_4_12,8.25; 6.25,,,,,,,,,8.25 in,210.0,210.0,6.25 in,159.0,159.0,,,,mm,True
MS_Auct_D_4_13_binding_1,manuscript_463,Auct_D,MS_Auct_D_4_13,MS. Auct. D. 4. 13,MS_Auct_D_4_13,Whittawed leather over boards (period 3).,,,,,1400,1500,,,,,,,,,,,,,
MS_Auct_D_4_14_binding_1,manuscript_464,Auct_D,MS_Auct_D_4_14,MS. Auct. D. 4. 14,MS_Auct_D_4_14,10; 7,,,,,,,,,10 in,254.0,254.0,7 in,178.0,178.0,,,,mm,True
MS_Auct_D_4_17_binding_1,manuscript_466,Auct_D,MS_Auct_D_4_17,MS. Auct. D. 4. 17,MS_Auct_D_4_17,"Brown leather with ornamental corners and centre bosses of brass, clasps lost, late 16th cent. English binding.",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_D_4_18_binding_1,manuscript_467,Auct_D,MS_Auct_D_4_18,MS. Auct. D. 4. 18,MS_Auct_D_4_18,"Red leather on older boards, early 16th cent. Reading (?) work.",,,,,1500,1525,,,8.625 in,219.0,219.0,6.25 in,159.0,159.0,,,,mm,True
MS_Auct_D_4_22_binding_1,manuscript_471,Auct_D,MS_Auct_D_4_22,MS. Auct. D. 4. 22,MS_Auct_D_4_22,9.875; 7.125,,,,,,,,,9.875 in,251.0,251.0,7.125 in,181.0,181.0,,,,mm,True
MS_Auct_D_5_1_binding_1,manuscript_480,Auct_D,MS_Auct_D_5_1,MS. Auct. D. 5. 1,MS_Auct_D_5_1,"Is stamped red leather with brass bosses and clasps, German work of about 1515, for Johannes Trithemius.",,,,1515,1515,1515,,,,,,,,,,,,,
MS_Auct_D_5_4_binding_1,manuscript_495,Auct_D,MS_Auct_D_5_4,MS. Auct. D. 5. 4,MS_Auct_D_5_4,5.875; 4.625,,,,,,,,,5.875 in,149.0,149.0,4.625 in,117.0,117.0,,,,mm,True
MS_Auct_D_5_5_binding_1,manuscript_496,Auct_D,MS_Auct_D_5_5,MS. Auct. D. 5. 5,MS_Auct_D_5_5,17th- or 18th-century binding of leather over pasteboard; sewn on three double bands.,,,,,1700,1800,,,,,,,,,,,,,
MS_Auct_D_5_6_binding_1,manuscript_497,Auct_D,MS_Auct_D_5_6,MS. Auct. D. 5. 6,MS_Auct_D_5_6,"Stamped brown leather on boards, Oxford work about 1560, initials G. K.",,,,,1550,1570,,,7 in,178.0,178.0,4.75 in,121.0,121.0,,,,mm,True
MS_Auct_D_5_7_binding_1,manuscript_498,Auct_D,MS_Auct_D_5_7,MS. Auct. D. 5. 7,MS_Auct_D_5_7,"Brown stamped leather with royal arms and garter and 'Deus det nobis suam pacem et post mortam [sic] vitam etemam', with brass clasps, English work of the 1st half of the 16th cent. (not unlike Weale's South Kensington Bookbindings, pt. 2 [1898], English Rubbings 171), repaired.",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_D_5_8_binding_1,manuscript_499,Auct_D,MS_Auct_D_5_8,MS. Auct. D. 5. 8,MS_Auct_D_5_8,"White leather on bevelled boards, two clasps, broken, brass and leather, 15th-cent. English work.",,,,,1400,1500,,,,,,,,,,,,,
MS_Auct_D_5_9_binding_1,manuscript_500,Auct_D,MS_Auct_D_5_9,MS. Auct. D. 5. 9,MS_Auct_D_5_9,"Green velvet, gilt edges, strings cut off, English 16th century work.",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_D_5_11_binding_1,manuscript_482,Auct_D,MS_Auct_D_5_11,MS. Auct. D. 5. 11,MS_Auct_D_5_11,"White parchment with inlaid dark-red leather, all with gold stamped ornament, on each side the arms of James I, with clasp and lock, English work.",,,,,1566,1625,,,,,,,,,,,,,
MS_Auct_D_5_12_binding_1,manuscript_483,Auct_D,MS_Auct_D_5_12,MS. Auct. D. 5. 12,MS_Auct_D_5_12,"Brown calf with gilt ornament, probably London work of the late 16th cent.",,,,,1575,1600,,,,,,,,,,,,,
MS_Auct_D_5_14_binding_1,manuscript_485,Auct_D,MS_Auct_D_5_14,MS. Auct. D. 5. 14,MS_Auct_D_5_14,"Reddish leather on boards, stamped with gold ornament, late 16th century Oxford work.; Traces of an earlier binding.",,,,,1575,1600,,,6.5 in,165.0,165.0,4.75 in,121.0,121.0,,,,mm,True
MS_Auct_D_5_15_binding_1,manuscript_486,Auct_D,MS_Auct_D_5_15,MS. Auct. D. 5. 15,MS_Auct_D_5_15,6.375; 4.5,,,,,,,,,6.375 in,162.0,162.0,4.5 in,114.0,114.0,,,,mm,True
MS_Auct_D_5_17_binding_1,manuscript_488,Auct_D,MS_Auct_D_5_17,MS. Auct. D. 5. 17,MS_Auct_D_5_17,"Gold ornament on black leather, Italian style, 16th cent., with arms inserted on the sides",,,,,1500,1600,,,6.625 in,168.0,168.0,4.5 in,114.0,114.0,,,,mm,True
MS_Auct_D_inf_2_2_binding_1,manuscript_510,Auct_D,MS_Auct_D_inf_2_2,MS. Auct. D. inf. 2. 2,MS_Auct_D_inf_2_2,9.375; 6.625,,,,,,,,,9.375 in,238.0,238.0,6.625 in,168.0,168.0,,,,mm,True
MS_Auct_D_inf_2_4_binding_1,manuscript_514,Auct_D,MS_Auct_D_inf_2_4,MS. Auct. D. inf. 2. 4,MS_Auct_D_inf_2_4,"Stamped brown leather on boards, reproduced in S. Gibson's Some Notable Bodleian Bindings, pl. 6, Oxford work of about 1480.",,,,1480,1480,1480,,,,,,,,,,,,,
MS_Auct_D_inf_2_5_binding_1,manuscript_515,Auct_D,MS_Auct_D_inf_2_5,MS. Auct. D. inf. 2. 5,MS_Auct_D_inf_2_5,"Light-brown stamped leather on boards, clasps and bosses lost, with metal corners, re-backed, French 15th cent. work.",,,,,1400,1500,,,,,,,,,,,,,
MS_Auct_D_inf_2_9_binding_1,manuscript_519,Auct_D,MS_Auct_D_inf_2_9,MS. Auct. D. inf. 2. 9,MS_Auct_D_inf_2_9,11.75; 8.625,,,,,,,,,11.75 in,298.0,298.0,8.625 in,219.0,219.0,,,,mm,True
MS_Auct_D_inf_2_10_binding_1,manuscript_502,Auct_D,MS_Auct_D_inf_2_10,MS. Auct. D. inf. 2. 10,MS_Auct_D_inf_2_10,"Leather stained red on boards, 15th cent. English work.",,,,,1400,1500,,,11.875 in,302.0,302.0,8.125 in,206.0,206.0,,,,mm,True
MS_Auct_D_inf_2_11_binding_1,manuscript_503,Auct_D,MS_Auct_D_inf_2_11,MS. Auct. D. inf. 2. 11,MS_Auct_D_inf_2_11,"Purple velvet with gilt corner pieces, English, 16th century.",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_D_inf_2_12_binding_1,manuscript_504,Auct_D,MS_Auct_D_inf_2_12,MS. Auct. D. inf. 2. 12,MS_Auct_D_inf_2_12,"Red plush on early boards, attached is a repoussé silver-gilt crucifix of Greek 14th cent. workmanship, damaged, clasps and corner-pieces wanting.",,,,,1300,1600,,,,,,,,,,,,,
MS_Auct_E_1_6_binding_1,manuscript_531,Auct_E,MS_Auct_E_1_6,MS. Auct. E. 1. 6,MS_Auct_E_1_6,"Red stamped leather on boards, perhaps about A.D. 1500, Eastern European work, with traces of claspfittings: [on outside of front cover a parchment label with table of contents and press-mark 'Gr. 2a'. Cr.].",,,,1500,1500,1500,,,,,,,,,,,,,
MS_Auct_E_1_11_binding_1,manuscript_523,Auct_E,MS_Auct_E_1_11,MS. Auct. E. 1. 11,MS_Auct_E_1_11,"Stamped red and black leather with gold ornament, re-backed; sides inlaid with plaquettes by Valerio Belli Vicentino (d. 1546); bound in Venice for Diego Hurtado de Mendoza (see Provenance) about 1545-6 (see A. Hobson, 'Two Venetian bindings for Diego Hurtado de Mendoza', The Book Collector 24 (1975), 33-6).",,,,,1539,1546,,,,,,,,,,,,,
MS_Auct_E_1_13_binding_1,manuscript_525,Auct_E,MS_Auct_E_1_13,MS. Auct. E. 1. 13,MS_Auct_E_1_13,"White stamped pigskin on boards, with bevelled edges and clasps, 16th cent. German (?) work.",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_E_2_7_binding_1,manuscript_554,Auct_E,MS_Auct_E_2_7,MS. Auct. E. 2. 7,MS_Auct_E_2_7,"Olive leather with fine gold ornament and 'B.E.', with silver clasps, Italian? work, late 16th century",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_E_2_12_binding_1,manuscript_538,Auct_E,MS_Auct_E_2_12,MS. Auct. E. 2. 12,MS_Auct_E_2_12,"Reddish brown leather with fine stamped gold ornament, English work, late 16th cent.",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_E_2_17_binding_1,manuscript_543,Auct_E,MS_Auct_E_2_17,MS. Auct. E. 2. 17,MS_Auct_E_2_17,"Stamped red leather, Italian work of about A.D. 1600.",,,,1600,1600,1600,,,,,,,,,,,,,
MS_Auct_E_2_18_binding_1,manuscript_544,Auct_E,MS_Auct_E_2_18,MS. Auct. E. 2. 18,MS_Auct_E_2_18,"Stamped red leather, Italian work of about A.D. 1600.",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_E_2_19_binding_1,manuscript_545,Auct_E,MS_Auct_E_2_19,MS. Auct. E. 2. 19,MS_Auct_E_2_19,Brown tanned calf over laminated pulpboard.,,,,,1400,1600,,Gregorian,,,,,,,,,,,
MS_Auct_E_2_21_binding_1,manuscript_548,Auct_E,MS_Auct_E_2_21,MS. Auct. E. 2. 21,MS_Auct_E_2_21,"Gold ornament on limp parchment, 2nd half of 16th cent., English work.",,,,,1500,1600,,,,,,,,,,,,,
MS_Auct_E_4_12_binding_1,manuscript_558,Auct_E,MS_Auct_E_4_12,MS. Auct. E. 4. 12,MS_Auct_E_4_12,Binding modern.,,,,,1600,,,,,,,,,,,,,,
MS_Auct_E_inf_3_binding_1,manuscript_584,Auct_E,MS_Auct_E_inf_3,MS. Auct. E. inf. 3,MS_Auct_E_inf_3,17.25; 13.375,,,,,,,,,17.25 in,438.0,438.0,13.375 in,340.0,340.0,,,,mm,True
MS_Auct_E_inf_7_binding_1,manuscript_587,Auct_E,MS_Auct_E_inf_7,MS. Auct. E. inf. 7,MS_Auct_E_inf_7,"White whittawed leather over boards, 15th century (?), repaired.",,,,,1400,1500,medium,,,,,,,,,,,,
MSS_Auct_E_inf_1–2_binding_1,manuscript_520,Auct_E,MSS_Auct_E_inf_1–2,MSS. Auct. E. inf. 1-2,MSS_Auct_E_inf_1-2,"Leather over boards (Oxford, 1602).",Rebacked.,Blind-tooled.,,1602,1602,1602,,,,,,,,,,,,,
MS_Auct_F_1_2_binding_1,manuscript_597,Auct_F,MS_Auct_F_1_2,MS. Auct. F. 1. 2,MS_Auct_F_1_2,"Brown leather, with stamped ornament: in the middle of each side an ornament including a tree with dependent label bearing noli altvm sapere, London work of about 1609.",,,,1609,1609,1609,,,,,,,,,,,,,
MS_Auct_F_1_3_binding_1,manuscript_598,Auct_F,MS_Auct_F_1_3,MS. Auct. F. 1. 3,MS_Auct_F_1_3,"Early seventeenth century binding of calf over pasteboards, perhaps attributable to Williamson of Eton College (for whom see Robert Birley, 'The History of Eton College Library', The Library, 5th ser. 11 (1956), 231–261, at 246-9), stamped in gilt with cornerpieces and a centerpiece, in the centre of which is a tree with the device 'Noli alium sapere'; ties lost.",,,,,1600,1609,,,,,,,,,,,,,
MS_Auct_F_1_4_binding_1,manuscript_599,Auct_F,MS_Auct_F_1_4,MS. Auct. F. 1. 4,MS_Auct_F_1_4,"Blind-stamped calf over pasteboard, Oxford, late 16th century: cf. D. Pearson, Oxford Bookbinding 1500-1640 (2000), centrepiece i, state b (p. 76, fig. 41)",,,,,1590,1600,,,,,,,,,,,,,
MS_Auct_F_1_8_binding_1,manuscript_603,Auct_F,MS_Auct_F_1_8,MS. Auct. F. 1. 8,MS_Auct_F_1_8,"Stamped leather on boards, Oxford early 17th cent. work, by G. K.",,,,,1600,1700,,,13.5 in,343.0,343.0,9.625 in,244.0,244.0,,,,mm,True
MS_Auct_F_1_14_binding_1,manuscript_592,Auct_F,MS_Auct_F_1_14,MS. Auct. F. 1. 14,MS_Auct_F_1_14,"Red leather on boards, stamped and ornamented, with a shield bearing a raven let into the centre of each side (late 15th cent. Italian work, for Matthias Corvinus, king of Hungary, d. 1490), 'SENECA TRAGEDIE' on the back board and fore-edge. R25 in the classification of Corvinian bindings by Marianna Rozsondai in Nel segno del corvo (Modena, 2002), 249-59.",,,,,1400,1500,,,,,,,,,,,,,
MS_Auct_F_1_15_binding_1,manuscript_593,Auct_F,MS_Auct_F_1_15,MS. Auct. F. 1. 15,MS_Auct_F_1_15,"The two parts were bound together, most probably in 1411-1412 in Exeter (Clarkson 1996: 164). A parchment fly at the back of the book was a former pastedown. The original oak boards were reversed when the book was rebound and covered, in Oxford, in around 1600. The whittawed sheepskin covers are very worn. The inner boards are now bare wood with traces of paste and on the inner front board there are offsets of a text in carolingian minuscule.; [Note: A paper card has been pasted on the inside back board on the exposed wood with a note in pencil: 'from inside at end 22.1.1904 E.W.B.N: The card has a small window for a parchment fragment which looks to be in a late 10c anglo-caroline hand, and reads 'uin' on the recto and 'acd' on the verso. The offsets on the inside front board match in minim height the script on the tiny fragment.] ; Flyleaves at front and back were originally pastedowns, as paste remains on f. i recto and f. 93 verso. The front flyleaf (f. i) and the back fly (f. 93) were not original to the A-S book, as the wormholes in the textblocks, leaves, and covers do not match and the parchment is a thicker type and undamaged by mold as are the first several leaves of Part 1 and last several leaves of Part 2. Furthermore, the rust stains on the covers and ff. 1-2 that postdate the 1411-12 refurbishment and chaining in the Exeter library are absent on the fly, suggesting that these leaves were bound into the book in c. 1600. Clarkson suggests that the upper board is original from the Boethius and the lower board originally from the Persius (1996: 167). The book originally was sewn in three stations not counting the endbands, but was resewn onto four stations in the early 15c refurbishment. The spine is very worn with labels at the lower two gaps between stations; the top one has the shelfmark 'F. 1. 15' and the lower one bears an old shelfmark, 'Arch. F. c. 16'. The inner front board has a small label in the top left 'S.C. 2455' and offset carolingian minuscule text.; New covers were put over the original (but reversed) boards, ca. 1602 (Clarkson 1996: passim and Watson 1987: 270), when it was gifted to the Bodleian, and the book was clipped and chained in the Bodleian in the 17c. The turn-in of the covers was partly lifted in 1973-74 at the Bodleian as part of a dendrochronological study (as reported by Clarkson 1996: 165). According to notes and photographs kept in its storage box, the manuscript was refurbished in February of 1977.",,,,1602,1602,1602,,,,,,,,,,,,,
MS_Auct_F_2_1_binding_1,manuscript_605,Auct_F,MS_Auct_F_2_1,MS. Auct. F. 2. 1,MS_Auct_F_2_1,10.5; 7.5,,,,,,,,,10.5 in,267.0,267.0,7.5 in,191.0,191.0,,,,mm,True
MS_Auct_F_2_2_binding_1,manuscript_616,Auct_F,MS_Auct_F_2_2,MS. Auct. F. 2. 2,MS_Auct_F_2_2,11.75; 8.875,,,,,,,,,11.75 in,298.0,298.0,8.875 in,225.0,225.0,,,,mm,True
MS_Auct_F_2_3_binding_1,manuscript_625,Auct_F,MS_Auct_F_2_3,MS. Auct. F. 2. 3,MS_Auct_F_2_3,11.75; 8.5,,,,,,,,,11.75 in,298.0,298.0,8.5 in,216.0,216.0,,,,mm,True
MS_Auct_F_2_4_binding_1,manuscript_626,Auct_F,MS_Auct_F_2_4,MS. Auct. F. 2. 4,MS_Auct_F_2_4,11.375; 8.75,,,,,,,,,11.375 in,289.0,289.0,8.75 in,222.0,222.0,,,,mm,True
MS_Auct_F_2_5_binding_1,manuscript_627,Auct_F,MS_Auct_F_2_5,MS. Auct. F. 2. 5,MS_Auct_F_2_5,10.25; 7.25,,,,,,,,,10.25 in,260.0,260.0,7.25 in,184.0,184.0,,,,mm,True
MS_Auct_F_2_6_binding_1,manuscript_628,Auct_F,MS_Auct_F_2_6,MS. Auct. F. 2. 6,MS_Auct_F_2_6,11; 4.5,,,,,,,,,11 in,279.0,279.0,4.5 in,114.0,114.0,,,,mm,True
MS_Auct_F_2_7_binding_1,manuscript_629,Auct_F,MS_Auct_F_2_7,MS. Auct. F. 2. 7,MS_Auct_F_2_7,12; 8.625,,,,,,,,,12 in,305.0,305.0,8.625 in,219.0,219.0,,,,mm,True
MS_Auct_F_2_8_binding_1,manuscript_630,Auct_F,MS_Auct_F_2_8,MS. Auct. F. 2. 8,MS_Auct_F_2_8,Brown tanned calf over laminated pulpboard.,,,,,1700,1800,,,,,,,,,,,,,
MS_Auct_F_2_9_binding_1,manuscript_631,Auct_F,MS_Auct_F_2_9,MS. Auct. F. 2. 9,MS_Auct_F_2_9,9.375; 5.875,,,,,,,,,9.375 in,238.0,238.0,5.875 in,149.0,149.0,,,,mm,True
MS_Auct_F_2_10_binding_1,manuscript_606,Auct_F,MS_Auct_F_2_10,MS. Auct. F. 2. 10,MS_Auct_F_2_10,10.875; 8.25,,,,,,,,,10.875 in,276.0,276.0,8.25 in,210.0,210.0,,,,mm,True
MS_Auct_F_2_11_binding_1,manuscript_607,Auct_F,MS_Auct_F_2_11,MS. Auct. F. 2. 11,MS_Auct_F_2_11,"Blind-stamped leather over boards, late 15th century (original?).",,,,,1475,1500,,,,,,,,,,,,,
MS_Auct_F_2_12_binding_1,manuscript_608,Auct_F,MS_Auct_F_2_12,MS. Auct. F. 2. 12,MS_Auct_F_2_12,11.125; 8.625,,,,,,,,,11.125 in,283.0,283.0,8.625 in,219.0,219.0,,,,mm,True
MS_Auct_F_2_14_binding_1,manuscript_610,Auct_F,MS_Auct_F_2_14,MS. Auct. F. 2. 14,MS_Auct_F_2_14,"White parchment on boards, clasps lost, English 15th cent. work, worn",,,,,1400,1500,,,10.5 in,267.0,267.0,7.125 in,181.0,181.0,,,,mm,True
MS_Auct_F_2_15_binding_1,manuscript_611,Auct_F,MS_Auct_F_2_15,MS. Auct. F. 2. 15,MS_Auct_F_2_15,Original stamped leather binding.,,,True,,,,,,,,,,,,,,,,
MS_Auct_F_2_16_binding_1,manuscript_612,Auct_F,MS_Auct_F_2_16,MS. Auct. F. 2. 16,MS_Auct_F_2_16,10.375; 6.625,,,,,,,,,10.375 in,264.0,264.0,6.625 in,168.0,168.0,,,,mm,True
MS_Auct_F_2_18_binding_1,manuscript_614,Auct_F,MS_Auct_F_2_18,MS. Auct. F. 2. 18,MS_Auct_F_2_18,"Light-brown calf with gold ornament and arms on sides, 17th cent. French work, worm-eaten and repaired.",,,,,1600,1620,,,,,,,,,,,,,
MS_Auct_F_2_19_binding_1,manuscript_615,Auct_F,MS_Auct_F_2_19,MS. Auct. F. 2. 19,MS_Auct_F_2_19,"Stamped leather on pasteboard (English work, late 17th cent.) over older sewing, with 16th cent. English panels let into sides.",,,,,1500,1700,,,10.5 in,267.0,267.0,6.625 in,168.0,168.0,,,,mm,True
MS_Auct_F_2_20_binding_1,manuscript_617,Auct_F,MS_Auct_F_2_20,MS. Auct. F. 2. 20,MS_Auct_F_2_20,In Langbaine's time (1655) this MS. had still no binding.,,,,,1655,,,,11.625 in,295.0,295.0,8.25 in,210.0,210.0,,,,mm,True
MS_Auct_F_2_25_binding_1,manuscript_620,Auct_F,MS_Auct_F_2_25,MS. Auct. F. 2. 25,MS_Auct_F_2_25,10.5; 7.25,,,,,,,,,10.5 in,267.0,267.0,7.25 in,184.0,184.0,,,,mm,True
MS_Auct_F_2_27_binding_1,manuscript_622,Auct_F,MS_Auct_F_2_27,MS. Auct. F. 2. 27,MS_Auct_F_2_27,12.25; 9.5,,,,,,,,,12.25 in,311.0,311.0,9.5 in,241.0,241.0,,,,mm,True
MS_Auct_F_2_28_binding_1,manuscript_623,Auct_F,MS_Auct_F_2_28,MS. Auct. F. 2. 28,MS_Auct_F_2_28,11.625; 8.75,,,,,,,,,11.625 in,295.0,295.0,8.75 in,222.0,222.0,,,,mm,True
MS_Auct_F_2_29_binding_1,manuscript_624,Auct_F,MS_Auct_F_2_29,MS. Auct. F. 2. 29,MS_Auct_F_2_29,Green parchment with plain gold lines.,,,,,,,,,12.5 in,318.0,318.0,9.375 in,238.0,238.0,,,,mm,True
MS_Auct_F_3_1_binding_1,manuscript_632,Auct_F,MS_Auct_F_3_1,MS. Auct. F. 3. 1,MS_Auct_F_3_1,"Blind-ruled half-leather binding over boards, 15th century.",,,,,1400,1500,,,,,,,,,,,,,
