identifiers: ID,identifiers: URI (BnF),identifiers: URI (GND),identifiers: URI (ISNI),identifiers: URI (LC),identifiers: URI (Mirabile),identifiers: URI (Oxford DNB),identifiers: URI (Pinakes),identifiers: URI (SUDOC),identifiers: URI (VIAF),identifiers: URI (Wikidata),identifiers: other ref(s),identifiers: other URI(s),names: display,names: preferred,names: variant,names: crossref,names: ms,birth: birth,birth: when,birth: not before,birth: not after,birth: certainty,birth: calendar,death: death,death: when,death: not before,death: not after,death: certainty,death: calendar,floruit: floruit,floruit: when,floruit: from,floruit: to,floruit: not before,floruit: not after,floruit: certainty,floruit: calendar,biography: occupation,biography: sex,biography: nationality,biography: lang knowledge,biography: residence,biography: affiliation,bibliography: bibl(s),bibliography: note(s)
person_18019094,http://catalogue.bnf.fr/ark:/12148/cb126713109,http://d-nb.info/gnd/118824325,http://www.isni.org/isni/0000000115563744,http://id.loc.gov/authorities/names/n82101672,,,,http://www.idref.fr/098451960/id,https://viaf.org/viaf/18019094,http://www.wikidata.org/entity/Q3765384,,,"Corraro, Gregorio, 1411–1464",,"Corrarius, Gregorius, 1411–1464; Corraro, Gregorio, 1411–1464; Corrarus, Gregorius, 1411–1464; Correr, Gregorio, 1411–1464; Correro, Gregorio, 1411–1464; Gregorio, Corraro, 1411–1464; Gregorio, Correr, 1411–1464; Gregorius, 1411–1464; Gregorius, Venetus, 1411–1464","Gregorio, 1411–1464",,1411-09-14,1411,1411,1411,,,1464-11-30,1464,1464,1464,,,,,,,,,,,,,,,,,,
person_18021200,http://catalogue.bnf.fr/ark:/12148/cb12241447m,http://d-nb.info/gnd/11893516X http://d-nb.info/gnd/1089724519,http://www.isni.org/isni/0000000020566192,http://id.loc.gov/authorities/names/nr89014489,,,https://pinakes.irht.cnrs.fr/notices/auteur/id/2533,http://www.idref.fr/130909416/id,https://viaf.org/viaf/18021200,,,,"Sopatros, active 4th century",,"Sopater, Rhetor, ca. 4./5. Jh.; Sopater, ca. 4./5. Jh.; Sopatros, Redner, ca. 4./5. Jh.; Sopatros, Rhetor, ca. 4./5. Jh.; Sopatros, the Rhetor, ca. 4./5. Jh.; Sopatros, von Athen, ca. 4./5. Jh.",,,300,300,300,300,,,350,350,350,350,,,,,,,,,,,,,,,,,,
person_18124502,,http://d-nb.info/gnd/123179742,http://www.isni.org/isni/0000000045661751,http://id.loc.gov/authorities/names/n2001029855,,,,,https://viaf.org/viaf/18124502,,,,"Calosinás, Antonio, 16th century, second half",,"Calosinás, Antonio, 1535?-1611",,,1535,1535,1535,1535,,,1611,1611,1611,1611,,,,,,,,,,,,,,,,,,
person_18147945,http://catalogue.bnf.fr/ark:/12148/cb12131322m,http://d-nb.info/gnd/118578286,http://www.isni.org/isni/0000000121201934,http://id.loc.gov/authorities/names/n50080636,,,,http://www.idref.fr/059343249/id,https://viaf.org/viaf/18147945,http://www.wikidata.org/entity/Q169612,,,"Martin, V, Pope, 1368–1431",,"Colonna, Oddo, Pape, 5, 1368–1431; Colonna, Oddo, Papst, 5, 1368–1431; Colonna, Oddo, Pope, 5, 1368–1431; Martin V., Pape, 5, 1368–1431; Martin V., Papst, 5, 1368–1431; Martin V., Pope, 5, 1368–1431; Martino, V., Papa, 1368–1431; Martinus V., Pape, 5, 1368–1431; Martinus V., Papst, 5, 1368–1431; Martinus V., Pope, 5, 1368–1431; Martinus, 5, Papa, 1368–1431; Martinus, Pape, 5, 1368–1431; Martinus, Papst, 5, 1368–1431; Martinus, Pope, 5, 1368–1431; Martinus, V., Papst, 1368–1431; Martin, 5, Papa, 1368–1431; Martin, Pape, 5, 1368–1431; Martin, Papst, 5, 1368–1431; Martin, Pope, 5, 1368–1431; Martin, V., Papst, 1368–1431; Martin, V, Papst, 1368–1431; Oddo, Colonna, 1368–1431; Odon, Colonna, 1368–1431; Odo, Colonna, 1368–1431","Colonna, Oddo, 1368–1431; Oddone, Colonna, 1368–1431",,1368-01-01,1368,1368,1368,,,1431-02-20,1431,1431,1431,,,,,,,,,,,,,,,,,,
person_18163388,,http://d-nb.info/gnd/1050678168,,,,,,http://www.idref.fr/193049163/id,https://viaf.org/viaf/18163388,http://www.wikidata.org/entity/Q16558981,,,"Contarini, Giacomo, 1536–1595",,"Contareni, Jacobi, 1536–1595; Contarini, Jacomo, 1536–1595; Contarini, Jacopo, 1536–1595","Giacomo Contarini da San Samuele, 1536–1595; Iacopo Contarini da San Samuelle, 1536–1595",,1536-07-24,1536,1536,1536,,,1595,1595,1595,1595,,,,,,,,,,,,,,,,,,
person_18246305,,http://d-nb.info/gnd/127443843,,,,,,,https://viaf.org/viaf/18246305,,,,"Epiphanius, latinus",,Epiphanius Sanctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person_18259511,,http://d-nb.info/gnd/127888756,,,,,,,https://viaf.org/viaf/18259511,,,,"Oliverus, bishop of Paderborn",,"Oliverus, episc. Paderbornensis",,,,,,,,,1227,1227,1227,1227,,,,,,,,,,,,,,,,,,
person_18312186,,http://d-nb.info/gnd/129759155,http://www.isni.org/isni/0000000082042300,http://id.loc.gov/authorities/names/nr93005945,,,,http://www.idref.fr/081596243/id,https://viaf.org/viaf/18312186,https://www.wikidata.org/wiki/Q4160153,,,"James, Richard, 1592–1638",,"Iames, Richard, 1592–1638 ; Jamesius, Richardus, 1592–1638",,,1592,1592,1592,1592,,,1638,1638,1638,1638,,,,,,,,,,,,,,,,,,
person_18580778,,,,,,,,,,,,,"Dyer, Edward, Sir, 1543-1607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person_18636145,http://catalogue.bnf.fr/ark:/12148/cb11886317b,http://d-nb.info/gnd/118691910,http://www.isni.org/isni/0000000121228184,http://id.loc.gov/authorities/names/n84212566,,,,http://www.idref.fr/026656159/id,https://viaf.org/viaf/18636145,http://www.wikidata.org/entity/Q316483 http://www.wikidata.org/entity/Q26950369,,,"Florus, Lucius Annaeus",,"Annaeus, Florus, ca. 2. Jh.; Annius Florus, Publius, ca. 2. Jh.; Annius, Florus, ca. 2. Jh.; Floro, Lucio Annio, ca. 2. Jh.; Florus, Annaeus L., ca. 2. Jh.; Florus, Annius, ca. 2. Jh.; Florus, Gaius Annius, ca. 2. Jh.; Florus, Iulius, ca. 2. Jh.; Florus, Julius, ca. 2. Jh.; Florus, L. Annaeus, ca. 2. Jh.; Florus, L. Iulius, ca. 2. Jh.; Florus, L., ca. 2. Jh.; Florus, Lucius A., ca. 2. Jh.; Florus, Lucius Annaeus Iulius, ca. 2. Jh.; Florus, Lucius Annius, ca. 2. Jh.; Florus, Lucius I., ca. 2. Jh.; Florus, Lucius Iulius, ca. 2. Jh.; Florus, Lucius J., ca. 2. Jh.; Florus, Lucius Julius, ca. 2. Jh.; Florus, Lucius, ca. 2. Jh.; Florus, Luzius Annäus, ca. 2. Jh.; Florus, P. Annius, ca. 2. Jh.; Florus, Publius A., ca. 2. Jh.; Florus, Publius Annaeus, ca. 2. Jh.; Florus, Publius Annius, ca. 2. Jh.; Florus, Historicus, ca. 2. Jh.; Florus, Historien, ca. 2. Jh.; Florus, ca. 2. Jh.; Florus, von Nordafrika, ca. 2. Jh.","Annaeus Florus, Lucius, ca. 2. Jh.; Iulius, Florus, ca. 2. Jh.; Lucius Annaeus Florus, ca. 2. Jh.; Publius Annius Florus, ca. 2. Jh.",,2001-01-01,1,1,1,,,130-01-01,130,130,130,,,,,,,,,,,,,,,,,,
person_18636329,http://catalogue.bnf.fr/ark:/12148/cb12436743d,http://d-nb.info/gnd/118795988,http://www.isni.org/isni/0000000080979589,http://id.loc.gov/authorities/names/n84213550,,,,http://www.idref.fr/033507333/id,https://viaf.org/viaf/18636329,http://www.wikidata.org/entity/Q538564,,,"Sedulius, active 5th century",,"Coelius, Sedulius, 5. Jh.; Sedulio, 5. Jh.; Sedulius, Caelius, 5. Jh.; Sedulius, 5. Jh.; Sedulius, Christian Poet, 5. Jh.; Sedulius, Coelius, 5. Jh.; Sedulius, Dichter, 5. Jh.; Sedulius, Poeta, 5. Jh.; Sedulius, Presbyter, 5. Jh.; Sedulius, von Illyrien, 5. Jh.; Sedulius, von Italien, 5. Jh.; Sedulius, von Spanien, 5. Jh.; Sedulius, von Südgallien, 5. Jh.","Caelius, Sedulius, 5. Jh.; Pseudo-Sedulius, 5. Jh.",,400,400,400,400,,,500,500,500,500,,,,,,,,,,,,,,,,,,
person_18638339,,,http://www.isni.org/isni/0000000063593828,http://id.loc.gov/authorities/names/n84229986,,,,,https://viaf.org/viaf/18638339,,,,"Ward, James, of Nottingham, 1851–1927",,"Ward, James, 1851–1927 ; Ward, J., (James), 1851–1927",,,1851,1851,1851,1851,,,1927,1927,1927,1927,,,,,,,,,,,,,,,,,"W. T. Pike, ed., Nottinghamshire and Derbyshire at the Opening of the Twentieth Century; [and] Contemporary Biographies (1901), s.n. [http://www.nottshistory.org.uk/monographs/biographies1901/literary.htm]","To be distinguished from James Ward (1851–1924), Irish artist."
person_18642165,http://catalogue.bnf.fr/ark:/12148/cb159396047,http://d-nb.info/gnd/100936148,http://www.isni.org/isni/0000000035082502,http://id.loc.gov/authorities/names/n85017805,,,,,https://viaf.org/viaf/18642165,http://www.wikidata.org/entity/Q4723684,,,"Alfred, of Beverley",,"Alfred, of Beverley, –1143; Aluredus, Beverlacensis, –1143; Aluredus, Canonicus, –1143",,,1050,1050,1050,1050,,,1143,1143,1143,1143,,,,,,,,,,,,,,,,,,
person_18662910,,,http://www.isni.org/isni/0000000035095725,http://id.loc.gov/authorities/names/n85196863,,,,,https://viaf.org/viaf/18662910,http://www.wikidata.org/entity/Q7528487,,,"Musgrave, Philip, Sir, 1607-1678",,"Musgrave, Philip, Sir, 1607-1678 ; Musgrave, Lord (Philip), 1607-1678",,,1607-05-21,1607,1607,1607,,,1678,1678,1678,1678,,,,,,,,,,,,,,,,,,
person_18781487,,http://d-nb.info/gnd/100632734,http://www.isni.org/isni/000000007804088X,http://id.loc.gov/authorities/names/n88198576,,,,,https://viaf.org/viaf/18781487,,,,"Strode, Ralph, active 1350–1400",,,,,1350,1350,1350,1350,,,1400,1400,1400,1400,,,,,,,,,,,,,,,,,,
person_19120707,,,,http://id.loc.gov/authorities/names/n2006184233,,,,,https://viaf.org/viaf/19120707,,,,"Johannes Martinus, ex Ferrariis de Parma",,"John Martin, of Ferrara; Martinus ex Ferrariis de Parma, Johannes","Ferrari de Parma, Johannes Martinus ex; Martino di Ferrari de Parma, Giovanni; Parma, Johannes Martinus ex Ferrariis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person_19170254,,,http://www.isni.org/isni/0000000080980889,http://id.loc.gov/authorities/names/nb96064724,,,,http://www.idref.fr/068714866/id,https://viaf.org/viaf/19170254,,,,"Hugo, of Santalla, active 1141–1145",,"Hugh, of Santalla, active 1141–1145; Hugo, of Santalla, fl. 1141–1145; Sanctallensis, Hugo, active 1141–1145; Sanctellensis, Hugo, active 1141–1145; Sanctelliensis, Hugo, active 1141–1145; Sandaliensis, Hugo, active 1141–1145; Satiliensis, Hugo, active 1141–1145; Strellensis, Hugo, active 1141–1145","Sanctaliensis, Hugo, active 1141–1145",,,,,,,,1145,1145,1145,1145,,,,,,,,,,,,,,,,,,
person_19424140,,,,http://id.loc.gov/authorities/names/no2006008390,,,,,https://viaf.org/viaf/19424140,,,,"Mauritius, Hibernicus, active 1248",,"Maurice, de Beauvais, active 1248; Maurice, de Provins, active 1248; Maurice, l'Irlandais, active 1248; Maurice, the Englishman, active 1248; Mauritius, Anglicus, active 1248; Mauritius, Belvacensis, active 1248; Mauritius, Hibernicus, fl. 1248; Mauritius, Pruvin, active 1248; Mauritius, Pruvinensis, active 1248","Hibernicus, Mauritius, active 1248",,,,,,,,,,,,,,,1248,1248,1248,1248,1248,,,,,,,,,,
person_19444509,http://catalogue.bnf.fr/ark:/12148/cb15499758t,http://d-nb.info/gnd/102829217,http://www.isni.org/isni/000000000733408X http://www.isni.org/isni/0000000053737365,http://id.loc.gov/authorities/names/no2006126986,,,,,https://viaf.org/viaf/32396322 https://viaf.org/viaf/19444509 https://viaf.org/viaf/313246814,https://www.wikidata.org/wiki/Q6835563,,,"Michael, de Massa, -approximately 1337",,"Beccucci, Michael, -approximately 1337; Massa, Michael de, -approximately 1337; Michael Beccucci, de Massa, -approximately 1337; Michael, Massanus, -approximately 1337; Michael, de Massa, d. ca. 1337; Michele, da Massa Marittima, -approximately 1337; Michael, von Massa, –1337","Beccucci de Massa, Michael, -approximately 1337; De Massa, Michael, -approximately 1337",,,,,,,,1337,1337,1337,1337,,,,,,,,,,,,,,,,,,
person_19477764,http://catalogue.bnf.fr/ark:/12148/cb10717328g,http://d-nb.info/gnd/102435642,http://www.isni.org/isni/0000000061460087,http://id.loc.gov/authorities/names/no2008010256,,,https://pinakes.irht.cnrs.fr/notices/auteur/id/1193,,,http://www.wikidata.org/entity/Q3084273,,,"Germanos II, Patriarch of Constantinople, 1175?–1240",,"Germanos II, Patriarch of Constantinople, 1175?–1240 ; Constantinopolitanus, Germanus -1240 ; Cyrus Germanus -1240 ; Cyrus Germanus -1240 ; Germain II. Patriarche -1240 ; Germain Nauplius -1240 ; Germain de Constantinople -1240 ; Germanos B. -1240 ; Germanos II. Patriarch -1240 ; Germanos von Konstantinopel -1240 ; Germanus, Cyrus -1240 ; Germanus Constantinopolitanus -1240 ; Germanus II. Patriarcha -1240 ; Germanus Nicaenus -1240",,,1175,1175,1175,1175,,,1240-06-00,1240,1240,1240,,,,,,,,,,,,,,,,,,
person_19483789,,,,http://id.loc.gov/authorities/names/no2008043551,,,,,https://viaf.org/viaf/19483789,,,,"Bertram, von Ahlen, active 1307–1315",,"Bertram, von Ahlen, active 1307–1315 ; Bertram, von Ahlen, fl. 1307–1315 ; Bertramus, de Ahlen, active 1307–1315",,,1307,1307,1307,1307,,,1315,1315,1315,1315,,,,,,,,,,,,,,,,,,
person_19511934,,,,http://id.loc.gov/authorities/names/no2008188676,,,,,https://viaf.org/viaf/19511934,https://www.wikidata.org/wiki/Q8007530,,,"Dacre, William Dacre, Baron, 1500–1563",,"Dacre of Gilsland, William Dacre, Baron, 1500–1563","Greystoke, William Dacre, Baron, 1500–1563",,1500,1500,1500,1500,,,1563,1563,1563,1563,,,,,,,,,,,,,,,,,,
person_19648593,http://catalogue.bnf.fr/ark:/12148/cb12812751b,http://d-nb.info/gnd/118548379,http://www.isni.org/isni/0000000109133828,http://id.loc.gov/authorities/names/nr96016959,,,,http://www.idref.fr/058861491/id,https://viaf.org/viaf/19648593,http://www.wikidata.org/entity/Q1306304,,,"Heinrich, von Friemar, senior, approximately 1245–1340",,"Firmatia, Henricus de, 1245–1340; Freimar, Heinrich von, 1245–1340; Friemar, Henricus de, 1245–1340; Frimaria, Henricus de, 1245–1340; Heinrich, von Friemar, der Ältere, 1245–1340; Heinrich, von Friemar, 1245–1340; Henricus de Firmaria, 1245–1340; Henricus de Frimaria, 1245–1340; Henricus, de Frimaria, 1245–1340; Henricus, Alemanus, 1245–1340; Henricus, Firmaria, 1245–1340; Henricus, Wimaria, 1245–1340; Henricus, aus Friemar, 1245–1340; Henricus, de Alemannia, 1245–1340; Henricus, de Ferraria, 1245–1340; Henricus, de Firmatia, 1245–1340; Henricus, de Fricmar, 1245–1340; Henricus, de Friemar, 1245–1340; Henricus, de Frimaria, Senior, 1245–1340; Henricus, de Primaria, 1245–1340; Henricus, de Urimaria, 1245–1340; Henricus, de Viri, 1245–1340; Henricus, de Vrimaria, 1245–1340; Henricus, de Wrimaria, 1245–1340; Henri, de Vrimach, 1245–1340; Henry, of Friemar, 1245–1340","Firmaria, Henricus de, 1245–1340",,1245,1245,1245,1245,,,1340-10-18,1340,1340,1340,,,,,,,,,,,,,,,,,,
person_19649480,http://catalogue.bnf.fr/ark:/12148/cb122500611,http://d-nb.info/gnd/119163594,http://www.isni.org/isni/000000008938555X http://www.isni.org/isni/0000000455041854,http://id.loc.gov/authorities/names/n85344961,,,https://pinakes.irht.cnrs.fr/notices/auteur/id/2064,,https://viaf.org/viaf/19649480,http://www.wikidata.org/entity/Q313924,,,"Nicolaus, of Damascus",,"Nicolaus, of Damascus ; Damasceni, Nicolai v64–v4 ; Damasceno, Nicola v64–v4 ; Damascenus, Nicolaus v64–v4 ; Nicolaos Historiker v64–v4 ; Nicolao di Damasco v64–v4 ; Nicolas De Damase v64–v4 ; Nicolas de Damase v64–v4 ; Nicolas de Damas v64–v4 ; Nicolaus Peripateticus v64–v4 ; Nicolaus Historicus v64–v4 ; Nicolaus of Damascus v64–v4 ; Nicola Di Damasco v64–v4 ; Nicola Storico v64–v4 ; Nicola di Damasco v64–v4 ; Nikolaos Historiker v64–v4 ; Nikolaos ho Damaskēnos v64–v4 ; Nikolaos von Damaskos v64–v4 ; Nikolaos von Damaskus v64–v4 ; Nikolaus Damascenus v64–v4 ; Nīqūlāus v64–v4",,,-64,-64,-64,-64,,,-4,-4,-4,-4,,,,,,,,,,,,,,,,,,
person_19668364,http://catalogue.bnf.fr/ark:/12148/cb106067744,http://d-nb.info/gnd/1055517103,http://www.isni.org/isni/0000000066324359,http://id.loc.gov/authorities/names/n96022253,,,,http://www.idref.fr/121584194/id,https://viaf.org/viaf/19668364,http://www.wikidata.org/entity/Q16559049,,,"Palatino, Giovanni Battista, active 16th century",,"Palatino, Giovambattista",,,1515-01-01,1515,1515,1515,,,1575-01-01,1575,1575,1575,,,,,,,,,,,,,,,,,,
person_19672889,http://catalogue.bnf.fr/ark:/12148/cb118872179,http://d-nb.info/gnd/118739646,http://www.isni.org/isni/0000000108760782,http://id.loc.gov/authorities/names/n83056270,,,,http://www.idref.fr/026667274/id,https://viaf.org/viaf/19672889,http://www.wikidata.org/entity/Q2064265,,,"Paul, of Venice, 1372–1429",,"Paolo, Veneto, approximately 1370–1428; Nicoletti, Paul, 1372–1429; Nicolettus, Paulus, 1372–1429; Paolo, Nicoletti Veneto, 1372–1429; Paolo, Nicoletti von Venedig, 1372–1429; Paolo, Nicoletti, 1372–1429; Paolo, Venetiano, 1372–1429; Paolo, Veneto, 1372–1429; Paulus, Nicoletti von Venedig, 1372–1429; Paulus, Nicolettus Venetus, 1372–1429; Paulus, Nicolettus, 1372–1429; Paulus, Venetus, Philosoph, 1372–1429; Paulus, Venetus, 1372–1429; Paulus, von Venedig, 1372–1429; Paul, Nicoletti, 1372–1429; Paul, von Venedig, 1372–1429; Venetiis, Paulus de, 1372–1429; Venetus, Paulus, 1372–1429","Nicoletti, Paolo, 1372–1429; Venedig, Paulus von, 1372–1429",,1372-01-01,1372,1372,1372,,,1429-06-15,1429,1429,1429,,,,,,,,,,,,,,,,,,
person_19680057,http://catalogue.bnf.fr/ark:/12148/cb11911236v,http://d-nb.info/gnd/118516108,http://www.isni.org/isni/000000012122946X,http://id.loc.gov/authorities/names/n81097516,,,,http://www.idref.fr/026968088/id,https://viaf.org/viaf/19680057,http://www.wikidata.org/entity/Q366328,,,"Latini, Brunetto, 1220–1295",,"Brunetto, 1220–1295; Brunetto, Latini, 1220–1295; Brunetto, Latino, 1220–1295; Brunettus, 1220–1295; Brunettus, Latinus, 1220–1295; Brunetus, Latinus, 1220–1295; Brunet, Latin, 1220–1295; Latin, Brunet, 1220–1295; Latini, Brunetto di Buonaccorso, 1220–1295; Latini, Burnetto, 1220–1295; Latino, Brunetto, 1220–1295; Latino, Burnetto, 1220–1295; Latinus, Brunettus, 1220–1295; Latinus, Brunetus, 1220–1295","Brunectus, Bonacursi Latini, 1220–1295",,1220-01-01,1220,1220,1220,,,1295-01-01,1295,1295,1295,,,,,,,,,,,,,,,,,,
person_19683296,http://catalogue.bnf.fr/ark:/12148/cb11921470s,http://d-nb.info/gnd/100318371,http://www.isni.org/isni/0000000083396565,http://id.loc.gov/authorities/names/n90612652,,,,http://www.idref.fr/027093972/id,https://viaf.org/viaf/19683296,http://www.wikidata.org/entity/Q716743,,,"Rémusat, Abel, 1788–1832",,"Abel Rémusat, Jean Pierre, 1788–1832 ; Abel, Jean Pierre, 1788–1832 ; Abel-Rémusat, ..., 1788–1832 ; Abel-Rémusat, Jean P., 1788–1832 ; Abel-Rémusat, Jean Pierre, 1788–1832 ; Abel-Rémusat, Jean-Pierre, 1788–1832 ; Abel-Rémusat, 1788–1832 ; Abel-de-Remusat, ..., 1788–1832 ; Remusat, Abel de, 1788–1832 ; Remusat, Abel, 1788–1832 ; Remusat, Jean-Pierre-Abel, 1788–1832 ; Rémusat, A., 1788–1832 ; Rémusat, Jean P., 1788–1832 ; Rémusat, Jean Pierre Abel, 1788–1832 ; Rémusat, Jean Pierre, 1788–1832 ; Rémusat, Jean-Pierre-Abel, 1788–1832",,,1788-09-05,1788,1788,1788,,,1832-06-05,1832,1832,1832,,,,,,,,,,,,,,,,,,
person_19686406,http://catalogue.bnf.fr/ark:/12148/cb119585037,http://d-nb.info/gnd/118514008,http://www.isni.org/isni/0000000120994768,http://id.loc.gov/authorities/names/n79022942,,,,http://www.idref.fr/031637531/id,https://viaf.org/viaf/19686406,http://www.wikidata.org/entity/Q5669,,,"Botticelli, Sandro, 1444 or 1445–1510",,"Botticelli, Alessandro, 1445–1510; Botticelli, Filipepi, 1445–1510; Botticelli, 1445–1510; Botticello, Sandro del, 1445–1510; Bottichelli, Sandro, 1445–1510; Di Mariano Filipepi, Sandro, 1445–1510; DiMariano Filipepi, Alessandro, 1445–1510; DiMariano Filipepi, Sandro, 1445–1510; Filipepi, Alessandro di Mariano, 1445–1510; Filipepi, Alessandro, 1445–1510; Filipepi, Sandro di Mariano, 1445–1510; Mariano, Sandro di, 1445–1510","Di Mariano Filipepi, Alessandro, 1445–1510; Filipepi, Alessandro di M., 1445–1510; Mariano Filipepi, Alessandro di, 1445–1510",,1444-03-10,1444,1444,1444,,,1510-05-17,1510,1510,1510,,,,,,,,,,,,,,,,,,
